RLVKEY;SEMESTER;TYP;STUNDEN;CREDITS;LV_STATUS_NR;LV_STATUS;KOMPONENTEN_TYP;FRAGE_TYP;FRAGETEXT;OPTIONEN;ANTWORT;OPTIONNR;FREITEXT
277f6a00a09fc6d;16S;PS;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 184;n/a;negativ;-1;gut strukturierte LV
959353896063576;16S;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 185;n/a;neutral;-2;auf Studierende eingegangen
959353896063576;19S;VO;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 186;n/a;positiv;-1;
a53e6669754588d;18W;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 187;n/a;negativ;-2;
959353896063576;16S;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 188;n/a;positiv;-1;auf Studierende eingegangen
a53e6669754588d;17S;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 189;n/a;negativ;-1;
ca76fca5fb653f5;16S;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 190;n/a;positiv;-1;auf Studierende eingegangen
974e077c94dfc81;17S;PS;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 191;n/a;;-1;auf Studierende eingegangen
ca76fca5fb653f5;17S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 192;n/a;negativ;-2;sehr interessante Themen
974e077c94dfc81;16S;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 193;n/a;positiv;-1;auf Studierende eingegangen
959353896063576;20W;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 194;n/a;positiv;-1;
757aeb0f3e66c44;16S;VO;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 195;n/a;negativ;-2;gut strukturierte LV
757aeb0f3e66c44;20W;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 196;n/a;;-2;gut strukturierte LV
974e077c94dfc81;16S;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 197;n/a;neutral;-1;
757aeb0f3e66c44;20W;PS;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 198;n/a;positiv;-1;
757aeb0f3e66c44;16S;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 199;n/a;;-1;sehr interessante Themen
959353896063576;20W;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 200;n/a;;-2;sehr interessante Themen
a53e6669754588d;18W;PS;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 201;n/a;positiv;-1;
974e077c94dfc81;20W;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 202;n/a;positiv;-2;sehr interessante Themen
ca76fca5fb653f5;20W;PS;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 203;n/a;negativ;-2;sehr interessante Themen
959353896063576;20W;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 204;n/a;;-1;sehr interessante Themen
277f6a00a09fc6d;20W;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 205;n/a;neutral;-1;
757aeb0f3e66c44;19S;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 206;n/a;positiv;-1;auf Studierende eingegangen
ca76fca5fb653f5;18W;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 207;n/a;neutral;-1;
a53e6669754588d;18W;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 208;n/a;;-2;gut strukturierte LV
a53e6669754588d;17S;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 209;n/a;negativ;-1;
ca76fca5fb653f5;20W;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 210;n/a;negativ;-1;sympathischer LV-Leiter
757aeb0f3e66c44;19S;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 211;n/a;positiv;-1;sehr interessante Themen
959353896063576;18W;PS;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 212;n/a;neutral;-1;
757aeb0f3e66c44;16S;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 213;n/a;negativ;-2;
974e077c94dfc81;18W;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 214;n/a;positiv;-2;sympathischer LV-Leiter
959353896063576;18W;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 215;n/a;negativ;-2;
959353896063576;20W;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 216;n/a;neutral;-1;
974e077c94dfc81;20W;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 217;n/a;negativ;-1;sehr interessante Themen
ca76fca5fb653f5;17S;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 218;n/a;neutral;-1;
757aeb0f3e66c44;20W;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 219;n/a;neutral;-2;sympathischer LV-Leiter
277f6a00a09fc6d;16S;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 220;n/a;positiv;-1;auf Studierende eingegangen
757aeb0f3e66c44;16S;PS;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 221;n/a;;-2;sympathischer LV-Leiter
959353896063576;20W;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 222;n/a;neutral;-2;auf Studierende eingegangen
974e077c94dfc81;16S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 223;n/a;negativ;-1;sympathischer LV-Leiter
277f6a00a09fc6d;17S;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 224;n/a;positiv;-1;sehr interessante Themen
277f6a00a09fc6d;17S;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 225;n/a;;-2;
974e077c94dfc81;18W;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 226;n/a;neutral;-2;
959353896063576;16S;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 227;n/a;;-2;gut strukturierte LV
277f6a00a09fc6d;18W;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 228;n/a;positiv;-2;sympathischer LV-Leiter
ca76fca5fb653f5;20W;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 229;n/a;negativ;-2;gut strukturierte LV
a53e6669754588d;20W;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 230;n/a;negativ;-2;gut strukturierte LV
757aeb0f3e66c44;18W;PS;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 231;n/a;;-1;sympathischer LV-Leiter
959353896063576;17S;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 232;n/a;neutral;-1;sympathischer LV-Leiter
277f6a00a09fc6d;18W;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 233;n/a;;-2;auf Studierende eingegangen
ca76fca5fb653f5;17S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 234;n/a;;-1;sehr interessante Themen
757aeb0f3e66c44;17S;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 235;n/a;;-2;auf Studierende eingegangen
757aeb0f3e66c44;16S;PS;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 236;n/a;neutral;-1;
974e077c94dfc81;16S;VO;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 237;n/a;positiv;-2;gut strukturierte LV
a53e6669754588d;19S;PS;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 238;n/a;positiv;-1;auf Studierende eingegangen
974e077c94dfc81;17S;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 239;n/a;negativ;-1;
959353896063576;19S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 240;n/a;neutral;-1;auf Studierende eingegangen
ca76fca5fb653f5;18W;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 241;n/a;;-1;
974e077c94dfc81;19S;VO;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 242;n/a;neutral;-1;gut strukturierte LV
277f6a00a09fc6d;19S;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 243;n/a;neutral;-2;sympathischer LV-Leiter
277f6a00a09fc6d;19S;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 244;n/a;positiv;-2;sympathischer LV-Leiter
974e077c94dfc81;16S;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 245;n/a;negativ;-1;auf Studierende eingegangen
a53e6669754588d;19S;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 246;n/a;negativ;-2;sehr interessante Themen
959353896063576;16S;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 247;n/a;positiv;-2;
ca76fca5fb653f5;19S;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 248;n/a;neutral;-2;sehr interessante Themen
757aeb0f3e66c44;18W;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 249;n/a;negativ;-2;sympathischer LV-Leiter
959353896063576;20W;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 250;n/a;;-2;gut strukturierte LV
974e077c94dfc81;18W;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 251;n/a;positiv;-1;sehr interessante Themen
757aeb0f3e66c44;17S;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 252;n/a;;-1;gut strukturierte LV
959353896063576;18W;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 253;n/a;negativ;-1;gut strukturierte LV
a53e6669754588d;16S;VO;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 254;n/a;negativ;-1;auf Studierende eingegangen
959353896063576;19S;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 255;n/a;negativ;-1;sehr interessante Themen
277f6a00a09fc6d;17S;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 256;n/a;;-1;
974e077c94dfc81;16S;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 257;n/a;neutral;-1;auf Studierende eingegangen
277f6a00a09fc6d;19S;PS;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 258;n/a;negativ;-1;auf Studierende eingegangen
a53e6669754588d;16S;UE;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 259;n/a;;-1;auf Studierende eingegangen
959353896063576;17S;PS;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 260;n/a;neutral;-2;auf Studierende eingegangen
a53e6669754588d;19S;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 261;n/a;neutral;-1;
277f6a00a09fc6d;20W;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 262;n/a;positiv;-2;sehr interessante Themen
ca76fca5fb653f5;16S;UE;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 263;n/a;neutral;-1;sympathischer LV-Leiter
ca76fca5fb653f5;20W;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 264;n/a;neutral;-1;gut strukturierte LV
959353896063576;20W;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 265;n/a;;-2;
ca76fca5fb653f5;16S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 266;n/a;;-2;gut strukturierte LV
a53e6669754588d;19S;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 267;n/a;negativ;-2;sehr interessante Themen
974e077c94dfc81;19S;PS;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 268;n/a;positiv;-2;auf Studierende eingegangen
a53e6669754588d;18W;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 269;n/a;neutral;-1;gut strukturierte LV
959353896063576;16S;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 270;n/a;positiv;-2;sehr interessante Themen
757aeb0f3e66c44;20W;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 271;n/a;;-2;gut strukturierte LV
277f6a00a09fc6d;16S;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 272;n/a;negativ;-2;gut strukturierte LV
a53e6669754588d;16S;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 273;n/a;positiv;-1;auf Studierende eingegangen
277f6a00a09fc6d;19S;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 274;n/a;negativ;-1;auf Studierende eingegangen
a53e6669754588d;19S;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 275;n/a;positiv;-2;auf Studierende eingegangen
974e077c94dfc81;17S;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 276;n/a;positiv;-1;sympathischer LV-Leiter
974e077c94dfc81;16S;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 277;n/a;positiv;-2;auf Studierende eingegangen
277f6a00a09fc6d;20W;PS;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 278;n/a;negativ;-1;sehr interessante Themen
ca76fca5fb653f5;19S;PS;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 279;n/a;negativ;-1;
974e077c94dfc81;19S;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 280;n/a;;-2;sehr interessante Themen
757aeb0f3e66c44;20W;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 281;n/a;negativ;-2;gut strukturierte LV
757aeb0f3e66c44;16S;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 282;n/a;positiv;-1;gut strukturierte LV
959353896063576;20W;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 283;n/a;neutral;-2;
757aeb0f3e66c44;16S;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 284;n/a;negativ;-1;auf Studierende eingegangen
277f6a00a09fc6d;20W;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 285;n/a;positiv;-2;sympathischer LV-Leiter
a53e6669754588d;18W;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 286;n/a;neutral;-1;
277f6a00a09fc6d;17S;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 287;n/a;;-1;gut strukturierte LV
757aeb0f3e66c44;19S;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 288;n/a;neutral;-2;
757aeb0f3e66c44;16S;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 289;n/a;neutral;-1;
277f6a00a09fc6d;20W;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 290;n/a;negativ;-1;gut strukturierte LV
ca76fca5fb653f5;17S;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 291;n/a;neutral;-1;sympathischer LV-Leiter
ca76fca5fb653f5;17S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 292;n/a;;-1;auf Studierende eingegangen
a53e6669754588d;19S;PS;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 293;n/a;negativ;-1;gut strukturierte LV
277f6a00a09fc6d;20W;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 294;n/a;positiv;-1;
a53e6669754588d;19S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 295;n/a;positiv;-2;gut strukturierte LV
757aeb0f3e66c44;20W;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 296;n/a;negativ;-2;sehr interessante Themen
959353896063576;17S;PS;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 297;n/a;;-2;sehr interessante Themen
277f6a00a09fc6d;19S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 298;n/a;positiv;-1;gut strukturierte LV
959353896063576;19S;UE;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 299;n/a;neutral;-2;sehr interessante Themen
277f6a00a09fc6d;20W;UE;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 300;n/a;neutral;-1;sympathischer LV-Leiter
757aeb0f3e66c44;18W;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 301;n/a;neutral;-1;gut strukturierte LV
959353896063576;19S;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 302;n/a;;-1;
974e077c94dfc81;17S;PS;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 303;n/a;neutral;-1;
a53e6669754588d;20W;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 304;n/a;;-1;sehr interessante Themen
959353896063576;19S;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 305;n/a;neutral;-2;sehr interessante Themen
757aeb0f3e66c44;20W;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 306;n/a;;-1;auf Studierende eingegangen
974e077c94dfc81;20W;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 307;n/a;negativ;-2;sehr interessante Themen
a53e6669754588d;16S;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 308;n/a;negativ;-1;
974e077c94dfc81;20W;UE;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 309;n/a;positiv;-1;gut strukturierte LV
757aeb0f3e66c44;19S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 310;n/a;;-2;gut strukturierte LV
ca76fca5fb653f5;20W;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 311;n/a;negativ;-1;gut strukturierte LV
757aeb0f3e66c44;16S;VC;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 312;n/a;;-1;gut strukturierte LV
ca76fca5fb653f5;20W;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 313;n/a;positiv;-2;sehr interessante Themen
974e077c94dfc81;19S;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 314;n/a;positiv;-1;sympathischer LV-Leiter
a53e6669754588d;17S;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 315;n/a;neutral;-2;sympathischer LV-Leiter
974e077c94dfc81;18W;PS;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 316;n/a;;-1;auf Studierende eingegangen
974e077c94dfc81;20W;PS;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 317;n/a;neutral;-1;sympathischer LV-Leiter
a53e6669754588d;16S;VO;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 318;n/a;negativ;-1;
ca76fca5fb653f5;19S;VC;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 319;n/a;negativ;-2;gut strukturierte LV
a53e6669754588d;20W;UE;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 320;n/a;positiv;-1;
ca76fca5fb653f5;20W;VO;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 321;n/a;positiv;-2;gut strukturierte LV
974e077c94dfc81;16S;UE;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 322;n/a;negativ;-1;sehr interessante Themen
757aeb0f3e66c44;19S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 323;n/a;;-2;sympathischer LV-Leiter
277f6a00a09fc6d;20W;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 324;n/a;neutral;-2;
277f6a00a09fc6d;16S;VC;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 325;n/a;;-1;auf Studierende eingegangen
277f6a00a09fc6d;17S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 326;n/a;negativ;-1;sympathischer LV-Leiter
a53e6669754588d;17S;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 327;n/a;neutral;-2;gut strukturierte LV
959353896063576;20W;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 328;n/a;neutral;-1;
757aeb0f3e66c44;19S;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 329;n/a;positiv;-1;gut strukturierte LV
959353896063576;16S;VC;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 330;n/a;positiv;-2;
277f6a00a09fc6d;17S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 331;n/a;positiv;-2;
a53e6669754588d;16S;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 332;n/a;positiv;-1;auf Studierende eingegangen
a53e6669754588d;19S;PS;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 333;n/a;neutral;-2;sehr interessante Themen
757aeb0f3e66c44;18W;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 334;n/a;neutral;-2;sympathischer LV-Leiter
757aeb0f3e66c44;20W;VC;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 335;n/a;neutral;-2;sympathischer LV-Leiter
277f6a00a09fc6d;20W;VC;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 336;n/a;;-2;sehr interessante Themen
974e077c94dfc81;17S;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 337;n/a;positiv;-1;
ca76fca5fb653f5;16S;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 338;n/a;;-2;gut strukturierte LV
959353896063576;20W;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 339;n/a;neutral;-2;
959353896063576;16S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 340;n/a;negativ;-1;sehr interessante Themen
277f6a00a09fc6d;19S;VO;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 341;n/a;neutral;-1;
959353896063576;19S;PS;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 342;n/a;negativ;-2;auf Studierende eingegangen
974e077c94dfc81;17S;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 343;n/a;;-1;sympathischer LV-Leiter
a53e6669754588d;17S;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 344;n/a;;-2;gut strukturierte LV
277f6a00a09fc6d;18W;VO;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 345;n/a;;-2;auf Studierende eingegangen
277f6a00a09fc6d;19S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 346;n/a;neutral;-1;sympathischer LV-Leiter
277f6a00a09fc6d;16S;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 347;n/a;negativ;-1;sehr interessante Themen
a53e6669754588d;20W;UE;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 348;n/a;negativ;-1;sehr interessante Themen
ca76fca5fb653f5;20W;VC;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 349;n/a;;-1;sehr interessante Themen
277f6a00a09fc6d;20W;UE;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 350;n/a;;-2;
974e077c94dfc81;16S;PS;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 351;n/a;neutral;-2;gut strukturierte LV
277f6a00a09fc6d;18W;PS;2.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 352;n/a;;-1;
974e077c94dfc81;19S;VO;2.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 353;n/a;;-2;sehr interessante Themen
277f6a00a09fc6d;16S;PS;1.0;2.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 354;n/a;positiv;-2;auf Studierende eingegangen
277f6a00a09fc6d;17S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 355;n/a;negativ;-1;gut strukturierte LV
974e077c94dfc81;19S;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 356;n/a;positiv;-2;auf Studierende eingegangen
757aeb0f3e66c44;18W;PS;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 357;n/a;neutral;-1;sehr interessante Themen
974e077c94dfc81;16S;UE;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 358;n/a;neutral;-1;sehr interessante Themen
757aeb0f3e66c44;16S;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 359;n/a;negativ;-2;sympathischer LV-Leiter
974e077c94dfc81;20W;PS;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 360;n/a;neutral;-1;gut strukturierte LV
a53e6669754588d;18W;UE;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 361;n/a;neutral;-1;sympathischer LV-Leiter
959353896063576;20W;VO;2.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 362;n/a;neutral;-1;auf Studierende eingegangen
757aeb0f3e66c44;20W;PS;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 363;n/a;positiv;-2;auf Studierende eingegangen
ca76fca5fb653f5;19S;VC;1.0;3.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 364;n/a;neutral;-1;sehr interessante Themen
974e077c94dfc81;20W;UE;1.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 365;n/a;positiv;-1;
277f6a00a09fc6d;19S;VO;2.0;5.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 366;n/a;negativ;-2;gut strukturierte LV
277f6a00a09fc6d;20W;VO;1.0;1.0;50;genehmigt;Uni;FREITEXT;Das ist der Fragetext 367;n/a;negativ;-1;sympathischer LV-Leiter
